id_poca,lat_inicial,lng_inicial,current_speed,current_dir,horas,lat_prevista,lng_prevista
5,-18.760887418566057,-32.81016000368851,0.0697464943849747,300.0820125657799,2,-18.748412627455526,-32.81604290547558
5,-18.760887418566057,-32.81016000368851,0.0697464943849747,300.0820125657799,4,-18.757327181343086,-32.82421325227809
5,-18.760887418566057,-32.81016000368851,0.0697464943849747,300.0820125657799,6,-18.7607306866443,-32.82328072230091
5,-18.760887418566057,-32.81016000368851,0.0697464943849747,300.0820125657799,8,-18.758650722061507,-32.823038790891154
6,-28.680470346385768,-48.210422071926374,0.9611647127813717,163.28048470923687,2,-28.73586315071403,-48.187480806400664
6,-28.680470346385768,-48.210422071926374,0.9611647127813717,163.28048470923687,4,-28.79420967412694,-48.17699689804954
6,-28.680470346385768,-48.210422071926374,0.9611647127813717,163.28048470923687,6,-28.855539274583354,-48.140720358450366
6,-28.680470346385768,-48.210422071926374,0.9611647127813717,163.28048470923687,8,-28.91423731743577,-48.146257686783585
2,-13.11828972820885,-46.924252170773585,0.39117692148098554,251.49566431637794,2,-13.113019762594886,-46.945538835851025
2,-13.11828972820885,-46.924252170773585,0.39117692148098554,251.49566431637794,4,-13.125003620196457,-46.96204725316754
2,-13.11828972820885,-46.924252170773585,0.39117692148098554,251.49566431637794,6,-13.149985434228514,-47.00196279203126
2,-13.11828972820885,-46.924252170773585,0.39117692148098554,251.49566431637794,8,-13.163498883636917,-47.02130265383613
2,-12.2143665606538,-36.95563208398634,0.46825543866424074,189.21619306439237,2,-12.250291686392114,-36.95840146349677
2,-12.2143665606538,-36.95563208398634,0.46825543866424074,189.21619306439237,4,-12.27122763758588,-36.95095017744307
2,-12.2143665606538,-36.95563208398634,0.46825543866424074,189.21619306439237,6,-12.30575419726003,-36.997815494558445
2,-12.2143665606538,-36.95563208398634,0.46825543866424074,189.21619306439237,8,-12.329911455282673,-36.97978195260164
1,-29.841552716829007,-43.43389673666064,0.612738860034416,64.91259535814218,2,-29.8228854981352,-43.381492075986536
1,-29.841552716829007,-43.43389673666064,0.612738860034416,64.91259535814218,4,-29.813110682852095,-43.36399583684821
1,-29.841552716829007,-43.43389673666064,0.612738860034416,64.91259535814218,6,-29.776055756114083,-43.3210963640477
1,-29.841552716829007,-43.43389673666064,0.612738860034416,64.91259535814218,8,-29.771941806074782,-43.257990100712455
5,-27.263167483184134,-34.215760370498884,0.5692291059907171,276.8934101178308,2,-27.246900953163227,-34.25475553144771
5,-27.263167483184134,-34.215760370498884,0.5692291059907171,276.8934101178308,4,-27.265654451448363,-34.29410958001248
5,-27.263167483184134,-34.215760370498884,0.5692291059907171,276.8934101178308,6,-27.251285680930952,-34.32637727984166
5,-27.263167483184134,-34.215760370498884,0.5692291059907171,276.8934101178308,8,-27.25187828712545,-34.373743395681984
3,-22.977935086828786,-33.732254369872805,0.2363240791239218,76.48641569819574,2,-22.977000798679647,-33.71004808367793
3,-22.977935086828786,-33.732254369872805,0.2363240791239218,76.48641569819574,4,-22.968495130436835,-33.68366359591864
3,-22.977935086828786,-33.732254369872805,0.2363240791239218,76.48641569819574,6,-22.96590245390845,-33.69160737119531
3,-22.977935086828786,-33.732254369872805,0.2363240791239218,76.48641569819574,8,-22.960127289827742,-33.64754540519208
2,-15.132925645203246,-48.39788277894844,0.3980460199848108,132.29659320742238,2,-15.140250605029463,-48.36158157193545
2,-15.132925645203246,-48.39788277894844,0.3980460199848108,132.29659320742238,4,-15.170218416516422,-48.37107326951638
2,-15.132925645203246,-48.39788277894844,0.3980460199848108,132.29659320742238,6,-15.205422067987099,-48.35286409916035
2,-15.132925645203246,-48.39788277894844,0.3980460199848108,132.29659320742238,8,-15.19810770532508,-48.31079898209588
9,-13.739632376175763,-32.54761825883382,0.6447193161653142,328.79486785807796,2,-13.710223224115019,-32.57276514535368
9,-13.739632376175763,-32.54761825883382,0.6447193161653142,328.79486785807796,4,-13.66408208907337,-32.593684544166
9,-13.739632376175763,-32.54761825883382,0.6447193161653142,328.79486785807796,6,-13.629037145838618,-32.6181851356822
9,-13.739632376175763,-32.54761825883382,0.6447193161653142,328.79486785807796,8,-13.592082555884183,-32.644432411503544
7,-22.06260534755708,-37.132643445159296,0.7782462583070762,166.28792450379626,2,-22.0976308099097,-37.13887407337234
7,-22.06260534755708,-37.132643445159296,0.7782462583070762,166.28792450379626,4,-22.166994445978148,-37.11040745530022
7,-22.06260534755708,-37.132643445159296,0.7782462583070762,166.28792450379626,6,-22.186571747194662,-37.10329834831452
7,-22.06260534755708,-37.132643445159296,0.7782462583070762,166.28792450379626,8,-22.264659027340116,-37.07889480920102
